M,W,N,LUTs,DSPs,WNS
8,6,8,494,0,-0.29
8,6,12,58,8,-0.29
8,6,16,70,8,-0.29
8,8,8,676,0,-0.29
8,8,12,64,8,-0.29
8,8,16,76,8,-0.29
8,10,8,58,8,-0.29
8,10,12,70,8,-0.29
8,10,16,82,8,-0.29
8,12,8,64,8,-0.29
8,12,12,76,8,-0.29
8,12,16,88,8,-0.29
10,6,8,621,0,-0.29
10,6,12,77,10,-0.29
10,6,16,93,10,-0.29
10,8,8,849,0,-0.29
10,8,12,85,10,-0.29
10,8,16,101,10,-0.29
10,10,8,77,10,-0.29
10,10,12,93,10,-0.29
10,10,16,109,10,-0.29
10,12,8,85,10,-0.29
10,12,12,101,10,-0.29
10,12,16,117,10,-0.29
16,6,8,1005,0,-0.29
16,6,12,137,16,-0.29
16,6,16,165,16,-0.29
16,8,8,1371,0,-0.29
16,8,12,151,16,-0.29
16,8,16,179,16,-0.29
16,10,8,137,16,-0.29
16,10,12,165,16,-0.29
16,10,16,193,16,-0.29
16,12,8,151,16,-0.29
16,12,12,179,16,-0.29
16,12,16,207,16,-0.29
32,6,8,2028,0,-0.29
32,6,12,296,32,-0.29
32,6,16,356,32,-0.29
32,8,8,2762,0,-0.29
32,8,12,326,32,-0.29
32,8,16,386,32,-0.29
32,10,8,296,32,-0.29
32,10,12,356,32,-0.29
32,10,16,416,32,-0.29
32,12,8,326,32,-0.29
32,12,12,386,32,-0.29
32,12,16,446,32,-0.29
64,6,8,4075,0,-0.29
64,6,12,615,64,-0.29
64,6,16,739,64,-0.29
64,8,8,5545,0,-0.29
64,8,12,677,64,-0.29
64,8,16,801,64,-0.29
64,10,8,615,64,-0.29
64,10,12,739,64,-0.29
64,10,16,863,64,-0.29
64,12,8,677,64,-0.29
64,12,12,801,64,-0.29
64,12,16,925,64,-0.29
50,6,4,1857,0,0.227
50,6,6,2760,0,0.226
50,6,7,2860,0,0.226
50,6,9,3562,0,0.226
50,6,10,427,50,-0.001
50,6,12,475,50,-0.001
50,9,4,2610,0,0.226
50,9,6,3562,0,0.226
50,9,7,4163,0,0.226
50,9,9,4969,0,0.2
50,9,10,499,50,-0.001
50,9,12,547,50,-0.027
50,12,4,3263,0,0.226
50,12,6,475,50,-0.001
50,12,7,499,50,-0.001
50,12,9,547,50,-0.027
50,12,10,571,50,-0.027
50,12,12,619,50,-0.028
50,13,4,3514,0,0.2
50,13,6,499,50,-0.001
50,13,7,523,50,-0.001
50,13,9,571,50,-0.027
50,13,10,595,50,-0.028
50,13,12,643,50,-0.028
100,6,4,3708,0,-0.019
100,6,6,5510,0,-0.029
100,6,7,5711,0,-0.029
100,6,9,7113,0,-0.029
100,6,10,914,100,-0.256
100,6,12,1016,100,-0.273
100,9,4,5211,0,-0.029
100,9,6,7113,0,-0.029
100,9,7,8314,0,-0.029
100,9,9,9916,0,-0.046
100,9,10,1067,100,-0.283
100,9,12,1169,100,-0.283
100,12,4,6514,0,-0.029
100,12,6,1016,100,-0.273
100,12,7,1067,100,-0.283
100,12,9,1169,100,-0.283
100,12,10,1220,100,-0.283
100,12,12,1322,100,-0.283
100,13,4,7015,0,-0.045
100,13,6,1067,100,-0.283
100,13,7,1118,100,-0.283
100,13,9,1220,100,-0.283
100,13,10,1271,100,-0.283
100,13,12,1373,100,-0.299
150,6,4,5531,0,0.226
150,6,6,8229,0,0.226
150,6,7,8528,0,0.226
150,6,9,10626,0,0.201
150,6,10,1325,150,-0.001
150,6,12,1473,150,-0.001
150,9,4,7778,0,0.226
150,9,6,10626,0,0.201
150,9,7,12425,0,0.2
150,9,9,14823,0,0.199
150,9,10,1547,150,-0.001
150,9,12,1695,150,-0.027
150,12,4,9725,0,0.2
150,12,6,1473,150,-0.001
150,12,7,1547,150,-0.001
150,12,9,1695,150,-0.027
150,12,10,1769,150,-0.027
150,12,12,1917,150,-0.028
150,13,4,10474,0,0.2
150,13,6,1547,150,-0.001
150,13,7,1621,150,-0.001
150,13,9,1769,150,-0.027
150,13,10,1843,150,-0.028
150,13,12,1991,150,-0.028
200,6,4,7409,0,-0.035
200,6,6,11011,0,-0.029
200,6,7,11412,0,-0.029
200,6,9,14214,0,-0.029
200,6,10,1815,200,-0.045
200,6,12,2017,200,-0.062
200,9,4,10412,0,-0.029
200,9,6,14214,0,-0.029
200,9,7,16615,0,-0.045
200,9,9,19817,0,-0.062
200,9,10,2118,200,-0.056
200,9,12,2320,200,-0.056
200,12,4,13015,0,-0.045
200,12,6,2017,200,-0.062
200,12,7,2118,200,-0.056
200,12,9,2320,200,-0.056
200,12,10,2421,200,-0.056
200,12,12,2623,200,-0.072
200,13,4,14016,0,-0.046
200,13,6,2118,200,-0.056
200,13,7,2219,200,-0.056
200,13,9,2421,200,-0.056
200,13,10,2522,200,-0.056
200,13,12,2724,200,-0.073
250,6,4,9231,0,0.226
250,6,6,13729,0,0.226
250,6,7,14228,0,0.226
250,6,9,17726,0,0.2
250,6,10,2225,250,-0.001
250,6,12,2473,250,-0.001
250,9,4,12978,0,0.226
250,9,6,17726,0,0.2
250,9,7,20725,0,0.2
250,9,9,24723,0,0.199
250,9,10,2597,250,-0.001
250,9,12,2845,250,-0.027
250,12,4,16225,0,0.2
250,12,6,2473,250,-0.001
250,12,7,2597,250,-0.001
250,12,9,2845,250,-0.027
250,12,10,2969,250,-0.027
250,12,12,3217,250,-0.028
250,13,4,17474,0,0.199
250,13,6,2597,250,-0.001
250,13,7,2721,250,-0.001
250,13,9,2969,250,-0.027
250,13,10,3093,250,-0.028
250,13,12,3341,250,-0.028
300,6,4,11080,0,0.226
300,6,6,16478,0,0.226
300,6,7,17077,0,0.226
300,6,9,21275,0,0.2
300,6,10,2674,300,-0.001
300,6,12,2972,300,-0.001
300,9,4,15577,0,0.226
300,9,6,21275,0,0.2
300,9,7,24874,0,0.2
300,9,9,29672,0,0.199
300,9,10,3121,300,-0.001
300,9,12,3419,300,-0.027
300,12,4,19474,0,0.2
300,12,6,2972,300,-0.001
300,12,7,3121,300,-0.001
300,12,9,3419,300,-0.027
300,12,10,3568,300,-0.027
300,12,12,3866,300,-0.028
300,13,4,20973,0,0.199
300,13,6,3121,300,-0.001
300,13,7,3270,300,-0.001
300,13,9,3568,300,-0.027
300,13,10,3717,300,-0.028
300,13,12,4015,300,-0.028
350,6,4,12930,0,0.226
350,6,6,19228,0,0.226
350,6,7,19927,0,0.226
350,6,9,24825,0,0.2
350,6,10,3124,350,-0.001
350,6,12,3472,350,-0.001
350,9,4,18177,0,0.226
350,9,6,24825,0,0.2
350,9,7,29024,0,0.2
350,9,9,34622,0,0.199
350,9,10,3646,350,-0.001
350,9,12,3994,350,-0.027
350,12,4,22724,0,0.2
350,12,6,3472,350,-0.001
350,12,7,3646,350,-0.001
350,12,9,3994,350,-0.027
350,12,10,4168,350,-0.027
350,12,12,4516,350,-0.028
350,13,4,24473,0,0.199
350,13,6,3646,350,-0.001
350,13,7,3820,350,-0.001
350,13,9,4168,350,-0.027
350,13,10,4342,350,-0.028
350,13,12,4690,350,-0.028
400,6,4,14810,0,-0.029
400,6,6,22012,0,-0.029
400,6,7,22813,0,-0.029
400,6,9,28415,0,-0.045
400,6,10,3616,400,-0.046
400,6,12,4018,400,-0.056
400,9,4,20813,0,-0.029
400,9,6,28415,0,-0.045
400,9,7,33216,0,-0.046
400,9,9,39618,0,-0.056
400,9,10,4219,400,-0.056
400,9,12,4621,400,-0.056
400,12,4,26016,0,-0.046
400,12,6,4018,400,-0.056
400,12,7,4219,400,-0.056
400,12,9,4621,400,-0.056
400,12,10,4822,400,-0.056
400,12,12,5224,400,-0.073
400,13,4,28017,0,-0.062
400,13,6,4219,400,-0.056
400,13,7,4420,400,-0.056
400,13,9,4822,400,-0.056
400,13,10,5023,400,-0.072
400,13,12,5425,400,-0.089
450,6,4,16654,0,0.226
450,6,6,24757,0,0.226
450,6,7,25657,0,0.226
450,6,9,31959,0,0.2
450,6,10,4060,450,-0.001
450,6,12,4512,450,-0.001
450,9,4,23407,0,0.226
450,9,6,31959,0,0.2
450,9,7,37360,0,0.199
450,9,9,44566,0,0.199
450,9,10,4738,450,-0.001
450,9,12,5190,450,-0.027
450,12,4,29260,0,0.199
450,12,6,4512,450,-0.001
450,12,7,4738,450,-0.001
450,12,9,5190,450,-0.027
450,12,10,5416,450,-0.027
450,12,12,5868,450,-0.028
450,13,4,31511,0,0.199
450,13,6,4738,450,-0.001
450,13,7,4964,450,-0.001
450,13,9,5416,450,-0.027
450,13,10,5642,450,-0.028
450,13,12,6094,450,-0.028
500,6,4,18480,0,0.226
500,6,6,27478,0,0.226
500,6,7,28477,0,0.226
500,6,9,35475,0,0.2
500,6,10,4474,500,-0.001
500,6,12,4972,500,-0.001
500,9,4,25977,0,0.226
500,9,6,35475,0,0.2
500,9,7,41474,0,0.199
500,9,9,49472,0,0.199
500,9,10,5221,500,-0.001
500,9,12,5719,500,-0.027
500,12,4,32474,0,0.199
500,12,6,4972,500,-0.001
500,12,7,5221,500,-0.001
500,12,9,5719,500,-0.027
500,12,10,5968,500,-0.027
500,12,12,6466,500,-0.028
500,13,4,34973,0,0.199
500,13,6,5221,500,-0.001
500,13,7,5470,500,-0.001
500,13,9,5968,500,-0.027
500,13,10,6217,500,-0.028
500,13,12,6715,500,-0.028
